product_id;parent_id;sku;name;stock_now;sold_period;avg_daily;needed_for_cover;order_qty;stock_cover_days;status
218659378;0;769513;AKUKU A1231 - Okrycie kąpielowe -( 80x80 cm) - 100% bawełna - ecru;-2;9;0,146;3;5;0,0;ORDER
211348453;0;PR-000011;AVENT-ZESTAW: Butelka dla niemowląt 125ml + SMOCZEK uspokajający - 0 m+ (dla chłopca);0;1;0,016;1;1;0,0;ORDER
211347374;0;767497;B.O.1451  - Butelka antykolkowa - (260ml) - Babyono - Natural Nursing;0;1;0,016;1;1;0,0;ORDER
211347529;0;5907400;B.O.1479/01 - Kocyk Bambusowy - Dzianina  - (kremowy);0;1;0,016;1;1;0,0;ORDER
488379243;0;5907404;B.O.1479/03 - Kocyk Bambusowy - Dzianina  - (beżowy);0;1;0,016;1;1;0,0;ORDER
211348244;0;5908858;B.O.1552/01 - Okrycie kąpielowe frotte z kapturkiem (100x100cm) -100% Bawełna - (różowe);0;1;0,016;1;1;0,0;ORDER
211348256;0;5908863;B.O.1553/02 - Okrycie kąpielowe z kapturkiem - Bambusowe -  100x100cm (niebieskie);0;1;0,016;1;1;0,0;ORDER
555125262;555121210;5901435418079;B.O.1673 - Kocyk Bambusowy - Dzianina - Niebieski/04;0;1;0,016;1;1;0,0;ORDER
555125265;555121210;5901435418048;B.O.1673 - Kocyk Bambusowy - Dzianina - Różowy/01;0;1;0,016;1;1;0,0;ORDER
211347561;211347557;5906742;B.O.585/30 - Biustonosz do karmienia - NEUTRALNY - B 75-80;0;1;0,016;1;1;0,0;ORDER
481609522;0;773983;B.O.777/03 - Termometr do wody - TAKE CARE - niebieski;-1;1;0,016;1;2;0,0;ORDER
211347219;0;BAM000001;BAMBOOLOVE - PIELUSZKI JEDNORAZOWE - Rozmiar S - (25 szt.) - (3-8kg);0;8;0,129;2;2;0,0;ORDER
211348264;0;1068;BELLA - Wkładki laktacyjne MAMMA - (30 szt.);-3;176;2,846;40;43;0,0;ORDER
211347385;0;781342;BELLA Baby Happy Chusteczki nasączone - wit.E i Alantoina - (64 szt.);0;2;0,032;1;1;0,0;ORDER
554396300;554390053;BIBS-SZALWIA-12;BIBS - Smoczek - kauczuk - SZAŁWIA - 2 (6m+);-1;1;0,016;1;2;0,0;ORDER
561107702;561102178;;BIBS STUDIO - Smoczek uspokajający - (2-pak) - latex - baby blue / dusty blue - BIBS-STUDIO-BABYBLUE-DUSTYBLUE-3;0;156;2,523;36;36;0,0;ORDER
541213096;527590394;5901691889576;CANPOL 34/930(1) - SMOCZEK  - silikon orthodontic - SYMETRYCZNY - ( 0-6m, 6-18m) - MOUNTAINS żółte- 2 szt. - 0-6m;0;1;0,016;1;1;0,0;ORDER
481559348;0;774241;CANPOL 9/809 - Nożyczki + cążki + pilniczek;0;2;0,032;1;1;0,0;ORDER
211347477;0;789088;CHICCO 00002256400000 - Krem na brodawki - (30 ml);0;1;0,016;1;1;0,0;ORDER
211347241;211347237;000644;HORIZON-MAJTKI POPORODOWE SIATKA (2 szt.) - 38-40;0;7;0,113;2;2;0,0;ORDER
211348490;211348480;TCB.9504.SWEET_PINK.XL.01;Koszula do karmienia - (SWEET_PINK) - Doctor Nap - XL;-1;1;0,016;1;2;0,0;ORDER
211348476;211348472;TCB.4348.BEIGE.XL.01;Koszula do karmienia - (beige) - Doctor Nap - XL;0;1;0,016;1;1;0,0;ORDER
211348504;211348497;TCB.5336.DEEP_BLUE.M.01;Koszula do karmienia -( DEEP BLUE) - Doctor Nap - M;-1;2;0,032;1;2;0,0;ORDER
211348557;211348548;TM.9301.DARK_GREY.M.01;Koszula do karmienia -(DARK_GREY) -Doctor Nap - M;0;1;0,016;1;1;0,0;ORDER
211348572;211348548;TM.9301.DARK_GREY.XXL.01;Koszula do karmienia -(DARK_GREY) -Doctor Nap - XXL;0;1;0,016;1;1;0,0;ORDER
211348598;211348576;TCB.9992.GRAPHITE.XL.01;Koszula do karmienia -(GRAPHITE) - Doctor Nap - XL;0;3;0,049;1;1;0,0;ORDER
211348340;0;779079;MATEX - KOCYK - PRESTIGE bawełniany dwustronny -(Кozmiar 75x100);0;1;0,016;1;1;0,0;ORDER
211347488;0;5908623;NIVEA BABY - Mój pierwszy KREM  - (75 ml);0;2;0,032;1;1;0,0;ORDER
528601621;0;5912041;Rożek niemowlęcy - standard 75x75 cm - (MIMINU DESIGN, Żyrafki beżowo-różowa) - bawełna 100%;0;1;0,016;1;1;0,0;ORDER
557328676;557323535;ROZ-8003;Rożek niemowlęcy MIX - standard 80x80 cm - DWUSTRONNY - bawełna - Misie;-2;4;0,065;1;3;0,0;ORDER
211348653;211348651;SOC.2201.COSMOS__35_37.S.01;Skarpety damskie (COSMOS) Best Mom - Doctor Nap - 35-37;0;1;0,016;1;1;0,0;ORDER
585922067;585922056;TORBA-MANIY-NIEBIESKA;Torba do szpitala dla mamy M.A.N.I.Y z dolną komorą - Torba do szpitala dla mamy M.A.N.I.Y z dolną komorą - Kolor: Niebieski;0;1;0,016;1;1;0,0;ORDER
585922078;585922056;TORBA-MANIY-ROZOWA;Torba do szpitala dla mamy M.A.N.I.Y z dolną komorą - Torba do szpitala dla mamy M.A.N.I.Y z dolną komorą - Kolor: Różowy;0;1;0,016;1;1;0,0;ORDER
481559346;0;779923;AKUKU A0473 - Zestaw do pielęgnacji -  (APPLE CASE) - SZARY;6;115;1,860;27;21;3,2;ORDER
211348864;0;ZIA1005;Ziaja - Płyn do higieny intymnej - Mamma Mia - 300 ml;8;133;2,151;31;23;3,7;ORDER
