sku;name;stock_now;sold_period;avg_daily;needed_for_cover;order_qty;stock_cover_days
ROZ2190;Rożek niemowlęcy - standard 80x80 cm - BECIK OTULACZ DWUSTRONNY - bawełna;1;7;0,113;2;1;8,8
16071319;Luba Tuli - chusteczki nawilżane dla dzieci - z aloesem-  (60 szt.);26;166;2,685;38;12;9,7
5907193;AKUKU A0338 - Szczotka do butelek;20;121;1,957;28;8;10,2
301601001;Bobini Baby - Żel do mycia ciała i włosów dla niemowląt - 2w1 - (300ml);30;182;2,943;42;12;10,2
PR-0009;Pieluszka tetrowa - DRUK - (70X80) - mix kolorów;36;197;3,186;45;9;11,3
PIEL-MUS-38X38-1-MIS-SPIOCH;Pieluszka muślinowa - ulewajka - 38x38 cm -  100% bawełna - 1-Miś Śpioch;3;16;0,259;4;1;11,6
786073;AKUKU A0069 - Podkład poporodowy - SLIM;17;87;1,407;20;3;12,1
5,90169E+12;CANPOL 34/920 - Smoczek silikonowy - (0+m) - SYMETRYCZNY - EXOTIC Koala;18;85;1,375;20;2;13,1
TORBA05-L;PIKOWANA TORBA do szpitala z NIEDŹWIEDZIEM -  Rozmiar: L;13;58;0,938;14;1;13,9
GAZ100-5;Chusteczki dezynfekcyjne nasączone alkoholem 70% - APTEO - (30 x 30 mm) - 4 szt.;43;190;3,073;44;1;14
