group,old_live_title,handle,product_title,skus,barcodes,current_seo_title,legacyResourceId,id
8,Torba do szpitala dla Mamy i Noworodka – gotowa – mamapack,kompletny-md,Torba do szpitala dla MAMY i NOWORODKA – gotowa wyprawka PREMIUM,PREM-MD-1,,Torba do szpitala dla Mamy i Noworodka – gotowa – mamapack,10523329921357,gid://shopify/Product/10523329921357
8,Torba do szpitala dla Mamy I Noworodka – gotowa – mamapack,torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-kompletna,Torba do szpitala dla DLA MAMY I NOWORODKA – gotowa wyprawka KOMPLETNA,KOM-MD-1,,Torba do szpitala dla Mamy I Noworodka – gotowa – mamapack,10523326054733,gid://shopify/Product/10523326054733
8,Torba do szpitala dla Mamy i Noworodka – gotowa – mamapack,torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-podstawowa,Torba do szpitala dla MAMY i NOWORODKA – gotowa wyprawka PODSTAWOWA,POD-MD-1,,Torba do szpitala dla Mamy i Noworodka – gotowa – mamapack,10519344120141,gid://shopify/Product/10519344120141
8,Torba do szpitala dla Mamy I Noworodka – gotowa – mamapack,torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-rozszerzona,Torba do szpitala dla DLA MAMY I NOWORODKA – gotowa wyprawka ROZSZERZONA,ROZ-MD-1,,Torba do szpitala dla Mamy I Noworodka – gotowa – mamapack,10558848336205,gid://shopify/Product/10558848336205
9,Pikowana Torba do szpitala z Niedźwiedziem - Rozmiar – mamapack,pikowana-torba-do-szpitala-z-niedzwiedziem,PIKOWANA TORBA do szpitala z NIEDŹWIEDZIEM -  Rozmiar: L,TORBA05-L,,Pikowana Torba do szpitala z Niedźwiedziem - Rozmiar – mamapack,9870172815693,gid://shopify/Product/9870172815693
9,Pikowana Torba do szpitala z Niedźwiedziem - Rozmiar – mamapack,pikowana-torba-do-szpitala-z-niedzwiedziem-rozmiar-m,PIKOWANA TORBA do szpitala z NIEDŹWIEDZIEM - Rozmiar: M,TORBA05-M,,Pikowana Torba do szpitala z Niedźwiedziem - Rozmiar – mamapack,10550671442253,gid://shopify/Product/10550671442253
10,Rożek niemowlęcy - standard 75x75 cm - - bawełna 100% – mamapack,rozek-niemowlecy-standard-75x75-cm-miminu-design-kotki-bawelna-100,Rożek niemowlęcy - standard 75x75 cm - (MIMINU DESIGN Kotki ) - bawełna 100%,5911186,,Rożek niemowlęcy - standard 75x75 cm - - bawełna 100% – mamapack,9984490242381,gid://shopify/Product/9984490242381
10,Rożek niemowlęcy - standard 75x75 cm - - bawełna 100% – mamapack,rozek-niemowlecy-standard-75x75-cm-miminu-design-little-ballerina-bawelna-100,"Rożek niemowlęcy - standard 75x75 cm - (MIMINU DESIGN, little ballerina) - bawełna 100%",5911326,,Rożek niemowlęcy - standard 75x75 cm - - bawełna 100% – mamapack,9984493814093,gid://shopify/Product/9984493814093
10,Rożek niemowlęcy - standard 75x75 cm - - bawełna 100% – mamapack,rozek-niemowlecy-standard-75x75-cm-miminu-design-misie-blekit-bawelna-100,Rożek niemowlęcy - standard 75x75 cm -(MIMINU DESIGN Misie błękit) - bawełna 100%,5911201,,Rożek niemowlęcy - standard 75x75 cm - - bawełna 100% – mamapack,9984487653709,gid://shopify/Product/9984487653709
11,Rożek niemowlęcy - standard 80x80 cm – mamapack,rozek-niemowlecy-standard-80x80-cm-becik-otulacz-dwustronny-bawelna,Rożek niemowlęcy - standard 80x80 cm - BECIK OTULACZ DWUSTRONNY - bawełna,ROZ2190,,Rożek niemowlęcy - standard 80x80 cm – mamapack,10389331476813,gid://shopify/Product/10389331476813
11,Rożek niemowlęcy - standard 80x80 cm – mamapack,rozek-niemowlecy-standard-80x80-cm-na-rzep-bawelna-100-dla-chlopca,Rożek niemowlęcy - standard 80x80 cm - (na rzep) - bawełna 100%- DLA CHŁOPCA,RZCH8080,,Rożek niemowlęcy - standard 80x80 cm – mamapack,10199906484557,gid://shopify/Product/10199906484557
11,Rożek niemowlęcy - standard 80x80 cm – mamapack,rozek-niemowlecy-standard-80x80-cm-na-rzep-bawelna-100-dla-dziewczynki,Rożek niemowlęcy - standard 80x80 cm - (na rzep) - bawełna 100%- DLA DZIEWCZYNKI,RZDG8080,,Rożek niemowlęcy - standard 80x80 cm – mamapack,10199904846157,gid://shopify/Product/10199904846157
11,Rożek niemowlęcy - standard 80x80 cm – mamapack,rozek-niemowlecy-standard-80x80-cm-na-rzep-bawelna-100-szary-w-gwiazdki,Rożek niemowlęcy - standard 80x80 cm - (na rzep) - bawełna 100% - SZARY W GWIAZDKI,ROZEK8080,,Rożek niemowlęcy - standard 80x80 cm – mamapack,10199908843853,gid://shopify/Product/10199908843853
12,Skarb Matki - Pomadka Ochronna – mamapack,skarb-matki-pomadka-ochronna-dla-dzieci-o-smaku-kokosa-i-wanilii,"SKARB MATKI - Pomadka Ochronna - dla dzieci o smaku kokosa i wanilii - 6,5g",001341,,Skarb Matki - Pomadka Ochronna – mamapack,9756450160973,gid://shopify/Product/9756450160973
12,Skarb Matki - Pomadka Ochronna – mamapack,skarb-matki-pomadka-ochronna-dla-dzieci-smak-malinowy,"SKARB MATKI - Pomadka Ochronna - dla dzieci o smaku malinowym - 6,5g",SM0021,,Skarb Matki - Pomadka Ochronna – mamapack,9756450193741,gid://shopify/Product/9756450193741
