url,handle,status,changed,title,error
https://mamapack.pl/products/akuku-a0586-smoczek-uspokajajacy-0-6m-niebieski,akuku-a0586-smoczek-uspokajajacy-0-6m-niebieski,200,False,AKUKU a0586 - Smoczek uspokajający 0-6m - Niebieski – mamapack,
https://mamapack.pl/products/akuku-a0587-smoczek-uspokajajacy-0-6m-rozowy,akuku-a0587-smoczek-uspokajajacy-0-6m-rozowy,200,False,AKUKU a0587 - Smoczek uspokajający 0-6m - Różowy – mamapack,
https://mamapack.pl/products/akuku-a0664-recznik-kapielowy-z-kapturkiem-frotte-100-x-100-cm,akuku-a0664-recznik-kapielowy-z-kapturkiem-frotte-100-x-100-cm,200,False,AKUKU a0664 - Ręcznik kąpielowy z kapturkiem - frotte – mamapack,
https://mamapack.pl/products/akuku-a0683k-kompres-zelowy-do-okolic-intymnych,akuku-a0683k-kompres-zelowy-do-okolic-intymnych,200,False,AKUKU a0683k - Kompres - Żelowy - do okolic intymnych – mamapack,
https://mamapack.pl/products/akuku-a0684-butelka-do-podmywania-peri-350-ml,akuku-a0684-butelka-do-podmywania-peri-350-ml,200,False,AKUKU a0684 - Butelka do podmywania - Peri - (350 ml) – mamapack,
https://mamapack.pl/products/akuku-a0710-bezpieczne-patyczki-do-uszu-dla-niemowlat-60-szt,akuku-a0710-bezpieczne-patyczki-do-uszu-dla-niemowlat-60-szt,200,False,AKUKU a0710 - Bezpieczne Patyczki do uszu dla – mamapack,
https://mamapack.pl/products/akuku-a12313-8-recznik-kapielowy-z-kapturkiem-80-x-80-cm,akuku-a12313-8-recznik-kapielowy-z-kapturkiem-80-x-80-cm,200,False,AKUKU a1231 - Ręcznik kąpielowy - z kapturkiem – mamapack,
https://mamapack.pl/products/albero-mio-c015-recznik-kapielowy-z-kapturkiem-100-x-100-cm,albero-mio-c015-recznik-kapielowy-z-kapturkiem-100-x-100-cm,200,False,Albero Mio c015 - Ręcznik kąpielowy - z kapturkiem – mamapack,
https://mamapack.pl/products/ardo-care-lanolina-10ml,ardo-care-lanolina-10ml,200,False,Ardo Care - Lanolina 10ml – mamapack,
https://mamapack.pl/products/ardo-krem-przeciw-rozstepom,ardo-krem-przeciw-rozstepom,200,False,Ardo - Krem przeciw rozstępom – mamapack,
https://mamapack.pl/products/atk-miniania-pielucha-flanelowa-80x70-biala-bez-nadruku-cena-za-1szt-pakowane-po-5szt,atk-miniania-pielucha-flanelowa-80x70-biala-bez-nadruku-cena-za-1szt-pakowane-po-5szt,200,False,Atk - Pielucha Flanelowa - Biała - - 1 szt – mamapack,
https://mamapack.pl/products/atk-miniania-pielucha-z-flaneli-kolor-z-nadrukiem-pakowane-po-5szt,atk-miniania-pielucha-z-flaneli-kolor-z-nadrukiem-pakowane-po-5szt,200,False,Atk - Pielucha Flanelowa - kolor z nadrukiem – mamapack,
https://mamapack.pl/products/avent-scf091-05-smoczek-ultra-soft-0-6m-bez-zielen,avent-scf091-05-smoczek-ultra-soft-0-6m-bez-zielen,200,False,Avent scf091/05 - Smoczek Ultra Soft - - beż/zieleń – mamapack,
https://mamapack.pl/products/avent-scf153-03-oslonki-na-piersi-srednie,avent-scf153-03-oslonki-na-piersi-srednie,200,False,Avent scf153/01-03 - Osłonki na piersi – mamapack,
https://mamapack.pl/products/avent-scf254-24-wkladki-jednorazowe-24-szt,avent-scf254-24-wkladki-jednorazowe-24-szt,200,False,Avent scf254/24 - Wkładki jednorazowe - 24 szt – mamapack,
https://mamapack.pl/products/avent-zestaw-butelka-dla-niemowlat-125ml-smoczek-uspokajajacy-0-m-dla-chlopca-copy,avent-zestaw-butelka-dla-niemowlat-125ml-smoczek-uspokajajacy-0-m-dla-chlopca-copy,200,False,Avent-Zestaw: Butelka dla niemowląt 125ml + Smoczek – mamapack,
https://mamapack.pl/products/avent-zestaw-butelka-niemowlat-125-ml-smoczek-uspokajajacy,avent-zestaw-butelka-niemowlat-125-ml-smoczek-uspokajajacy,200,False,Avent-Zestaw: Butelka dla niemowląt 125 ml + Smoczek – mamapack,
https://mamapack.pl/products/b-o-066-bezpieczne-nozyczki-take-care,b-o-066-bezpieczne-nozyczki-take-care,200,False,b.o.066 - Bezpieczne nożyczki - Take Care – mamapack,
