product_id,legacy_product_id,title,handle,status,sources,added_to_razem_taniej,already_in_razem_taniej_before,variant_skus
gid://shopify/Product/10587188887885,10587188887885,Babyono - ZESTAW WYPRAWKOWY dla mamy - 5 produktów,babyono-zestaw-wyprawkowy-dla-mamy-5-produktow,ACTIVE,ZESTAWY DLA MALUSZKA,True,False,BO-MAMA-5
gid://shopify/Product/10586497909069,10586497909069,Canpol - ZESTAW WYPRAWKOWY do szpitala - 5 produktów,canpol-zestaw-wyprawkowy-do-szpitala,ACTIVE,ZESTAWY DLA MALUSZKA,True,False,CAN-WYPR-MAM-05
gid://shopify/Product/10578334712141,10578334712141,Zestaw Wyprawkowy MOUNTAINS Yellow – (4 elementów),zestaw-wyprawkowy-mountains-yellow-pielegnacja-i-karmienie,ACTIVE,ZESTAWY DLA MALUSZKA | Zestawy dla Maluszka,True,False,BNDL-MNT-YLW-4
gid://shopify/Product/10578092097869,10578092097869,Canpol - Kolekcja GOOSE - zestaw 3m+ (4 elementów),canpol-kolekcja-goose-zestaw-3m-4-elementow,ACTIVE,ZESTAWY DLA MALUSZKA | Zestawy dla Maluszka,True,False,BNDL-CANPOL-GOOSE-3M
