legacy_id,title,old_handle,new_handle,seo_title_updated,seo_description_updated,handle_updated,redirect_created,success,error
9790721130829,B.O.397/12 - Naturalne pieluszki - z włókien bambusa - NATURAL BAMBOO,b-o-397-12-naturalne-pieluszki-z-wlokien-bambusa-natural-bamboo,b-o-397-12-naturalne-pieluszki-z-wlokien-bambusa-natural-bamboo,True,True,False,False,True,
9790721294669,KIECZMERSKI  - ROŻEK niemowlęcy - Wiązany -  MIMINU SOFT (0-3m) - RÓŻOWY,kieczmerski-rozek-niemowlecy-wiazany-miminu-soft-0-3m-pudrowy-roz,kieczmerski-rozek-niemowlecy-wiazany-miminu-soft-0-3m-pudrowy-roz,True,True,False,False,True,
9790721327437,KIECZMERSKI  - ROŻEK niemowlęcy - Wiązany -  MIMINU SOFT (0-3m) - BEŻ,kieczmerski-rozek-niemowlecy-wiazany-miminu-soft-0-3m-bez,kieczmerski-rozek-niemowlecy-wiazany-miminu-soft-0-3m-bez,True,True,False,False,True,
9790721458509,AKUKU A0354 - Wkładki laktacyjne - Ultracienkie - (30 szt.),akuku-a0354-wkladki-laktacyjne-ultracienkie,akuku-a0354-wkladki-laktacyjne-ultracienkie,True,True,False,False,True,
9790721524045,..B.O.513 - Podkład do przewijania 40x60cm - (10szt.),b-o-513-podklad-do-przewijania-40x60-10szt,b-o-513-podklad-do-przewijania-40x60-10szt,True,True,False,False,True,
9790721556813,B.O.297/01 - Wkładki laktacyjne NIGHT & DAY - (40 szt.),b-o-297-01-wkladki-laktacyjne-night-day-40-szt,b-o-297-01-wkladki-laktacyjne-night-day-40-szt,True,True,False,False,True,
9790721655117,..CANPOL 78/001 - Oddychające podkłady poporodowe NA NOC -  (10szt.),canpol-78-001-oddychajace-podklady-poporodowe-na-noc-10szt,canpol-78-001-oddychajace-podklady-poporodowe-na-noc-10szt,True,True,False,False,True,
9790721786189,BELLA - Podkład higieniczny MAMMA - 34x11 cm z folią - (10 szt.),bella-podklad-higieniczny-mamma-34x11-cm-z-folia-10-szt,bella-podklad-higieniczny-mamma-34x11-cm-z-folia-10-szt,True,True,False,False,True,
9807598223693,Skarpety damskie (FLAMINGO) Best Mom - Doctor Nap,skarpety-damskie-best-mom-38-41-doctor-nap,skarpety-damskie-best-mom-38-41-doctor-nap,True,True,False,False,True,
9807598387533,Szlafrok damski bambusowy wiązany - Doctor Nap,szlafrok-damski-bambusowy-wiazany-xl-doctor-nap,szlafrok-damski-bambusowy-wiazany-xl-doctor-nap,True,True,False,False,True,
9807598485837,SZLAFROK DAMSKI z delikatnego muślinu (wiązany) - Doctor Nap,szlafrok-damski-z-delikatnego-muslinu-l-wiazany-doctor-nap,szlafrok-damski-z-delikatnego-muslinu-l-wiazany-doctor-nap,True,True,False,False,True,
9807598747981,Koszula do karmienia - (beige) - Doctor Nap,koszula-do-karmienia-beige-xxl-doctor-nap,koszula-do-karmienia-beige-xxl-doctor-nap,True,True,False,False,True,
9807598911821,Koszula do karmienia -( DEEP BLUE) - Doctor Nap,koszula-do-karmienia-deep-blue-xl-doctor-nap,koszula-do-karmienia-deep-blue-xl-doctor-nap,True,True,False,False,True,
9807599108429,Koszula do karmienia - (SWEET_PINK) - Doctor Nap,koszula-do-karmienia-sweet_pink-xl-doctor-nap,koszula-do-karmienia-sweet_pink-xl-doctor-nap,True,True,False,False,True,
9807599272269,Koszula do karmienia -( różowy) - Doctor Nap,koszula-do-karmienia-rozowy-xl-doctor-nap,koszula-do-karmienia-rozowy-xl-doctor-nap,True,True,False,False,True,
9807599468877,Koszula do karmienia -(GRAPHITE) - Doctor Nap,koszula-do-karmienia-graphite-xxl-doctor-nap,koszula-do-karmienia-graphite-xxl-doctor-nap,True,True,False,False,True,
9807599665485,Koszula do karmienia -(GREY) - Doctor Nap,koszula-do-karmienia-grey-xxxl-doctor-nap,koszula-do-karmienia-grey-xxxl-doctor-nap,True,True,False,False,True,
9807599829325,Koszula do karmienia -(DARK_GREY) -Doctor Nap,koszula-do-karmienia-dark_grey-xxl-doctor-nap,koszula-do-karmienia-dark_grey-xxl-doctor-nap,True,True,False,False,True,
9816061804877,Biustonosz sportowy do karmienia DOCTOR NAP,biustonosz-sportowy-do-karmienia-doctor-nap,biustonosz-sportowy-do-karmienia-doctor-nap,True,True,False,False,True,
9816066851149,Doctor Nap szlafrok damski suwak,doctor-nap-szlafrok-damski-suwak,doctor-nap-szlafrok-damski-suwak,True,True,False,False,True,
9816069800269,Skarpety damskie (COSMOS) Best Mom - Doctor Nap,skarpety-damskie-cosmos-best-mom-doctor-nap,skarpety-damskie-cosmos-best-mom-doctor-nap,True,True,False,False,True,
9816070717773,Skarpety damskie (GREY SWAN) - Doctor Nap,skarpety-damskie-grey-swan-doctor-nap,skarpety-damskie-grey-swan-doctor-nap,True,True,False,False,True,
9870100431181,Torba do szpitala-010,torba-do-szpitala,torba-do-szpitala,True,True,False,False,True,
9870156497229,PIKOWANA TORBA do szpitala z TULIPANAMI -  Rozmiar:  L,pikowana-torba-do-szpitala,pikowana-torba-do-szpitala,True,True,False,False,True,
9870172815693,PIKOWANA TORBA do szpitala z NIEDŹWIEDZIEM -  Rozmiar: L,pikowana-torba-do-szpitala-z-niedzwiedziem,pikowana-torba-do-szpitala-z-niedzwiedziem,True,True,False,False,True,
9870190805325,Torba bawełna do szpitala,torba-bawelna-do-szpitala,torba-bawelna-do-szpitala,True,True,False,False,True,
9870250541389,Zestaw plastikowych butelek na produkty higieniczne (9 szt.),zestaw-plastikowych-butelek-na-produkty-higieniczne-9-szt,zestaw-plastikowych-butelek-na-produkty-higieniczne-9-szt,True,True,False,False,True,
9870257488205,Gumki do włosów elastyczne (3 szt.),gumki-do-wlosow-elastyczne,gumki-do-wlosow-elastyczne,True,True,False,False,True,
9916727361869,Klapki damskie - Biały,klapki-damskie-bialy,klapki-damskie-bialy,True,True,False,False,True,
9916745384269,DADA Extra Care -PIELUSZKI JEDNORAZOWE-  Rozm. 1 - (2-5 kg) - 26 szt.,5903933668482-pieluszki-dada-extra-care-rozm-1-2-5-kg-26-szt,5903933668482-pieluszki-dada-extra-care-rozm-1-2-5-kg-26-szt,True,True,False,False,True,
9916753576269,Jednorazowe nakładki na toaletę -  Biodegradowalne podkładki - (6 szt.),jednorazowe-nakladki-na-toalete-biodegradowalne-podkladki-8-szt,jednorazowe-nakladki-na-toalete-biodegradowalne-podkladki-8-szt,True,True,False,False,True,
9916759179597,Chusteczki dezynfekcyjne nasączone alkoholem 70% - (30 x 30 mm) - 4 szt.,chusteczki-dezynfekcyjne-nasaczone-alkoholem-70-apteo-30-x-30-mm-5-szt,chusteczki-dezynfekcyjne-nasaczone-alkoholem-70-apteo-30-x-30-mm-5-szt,True,True,False,False,True,
9916766585165,AKUKU A0338 - Szczotka do butelek,akuku-a0338-szczotka-do-butelek,akuku-a0338-szczotka-do-butelek,True,True,False,False,True,
9916769960269,ROZTWÓR FIZJOLOGICZNY - INhalacja soli - 5 AMPUŁEK,roztwor-fizjologiczny-inhalacja-soli-5-ampulek,roztwor-fizjologiczny-inhalacja-soli-5-ampulek,True,True,False,False,True,
9916778381645,Akuku A0004 - Butelka do karmienia - (125ml),akuku-a0004-butelka-do-karmienia-125ml,akuku-a0004-butelka-do-karmienia-125ml,True,True,False,False,True,
