title,handle,products,show_all_target,show_all_url,changed,missing
Wózki dziecięce,wozki-dzieciece,0,Spacer i podróż,/collections/spacer-i-podroz,False,False
Spacerówki,spacerowki,0,Spacer i podróż,/collections/spacer-i-podroz,False,False
Foteliki samochodowe,foteliki-samochodowe,0,Spacer i podróż,/collections/spacer-i-podroz,False,False
Akcesoria do wózków,akcesoria-do-wozkow,0,Spacer i podróż,/collections/spacer-i-podroz,False,False
Nosidła i chusty,nosidla-i-chusty,0,Spacer i podróż,/collections/spacer-i-podroz,False,False
Zabezpieczenia domu,zabezpieczenia-domu,8,Bezpieczeństwo,/collections/bezpieczenstwo-dziecka,True,False
Bramki ochronne,bramki-ochronne,0,Bezpieczeństwo,/collections/bezpieczenstwo-dziecka,True,False
Barierki do łóżka,barierki-do-lozka,0,Bezpieczeństwo,/collections/bezpieczenstwo-dziecka,True,False
Szelki do nauki chodzenia,szelki-do-nauki-chodzenia,0,Bezpieczeństwo,/collections/bezpieczenstwo-dziecka,True,False
Bezpieczeństwo w podróży,bezpieczenstwo-w-podrozy,0,Bezpieczeństwo,/collections/bezpieczenstwo-dziecka,True,False
Nianie wideo,nianie-wideo,0,Elektronika,/collections/elektronika-dziecka,False,False
Termometry elektroniczne,termometry-elektroniczne,1,Elektronika,/collections/elektronika-dziecka,False,False
Wagi dla niemowląt,wagi-dla-niemowlat,0,Elektronika,/collections/elektronika-dziecka,False,False
Inhalatory,inhalatory,0,Elektronika,/collections/elektronika-dziecka,False,False
Gryzaki,gryzaki,0,Zabawa i rozwój,/collections/zabawa-i-rozwoj,False,False
Zabawki,zabawki,0,Zabawa i rozwój,/collections/zabawa-i-rozwoj,False,False
Maty edukacyjne,maty-edukacyjne,1,Zabawa i rozwój,/collections/zabawa-i-rozwoj,False,False
Pluszaki,pluszaki,0,Zabawa i rozwój,/collections/zabawa-i-rozwoj,False,False
