title,handle,products,changed,context_title,context_handle,button_count
Smoczki do butelek,smoczki-do-butelek,0,True,Karmienie dziecka,karmienie-dziecka,9
Sen i pokój dziecka,sen-i-pokoj-dziecka,21,False,Sen i pokój,sen-i-pokoj-dziecka,10
Rożki i otulacze dla niemowląt,rozki-i-otulacze-dla-niemowlat,14,True,Sen i pokój,sen-i-pokoj-dziecka,10
Rożki na wyjście ze szpitala,rozki-na-wyjscie-ze-szpitala,14,True,Sen i pokój,sen-i-pokoj-dziecka,10
Pościel niemowlęca,posciel-niemowleca,0,True,Sen i pokój,sen-i-pokoj-dziecka,10
Materace,materace,0,True,Sen i pokój,sen-i-pokoj-dziecka,10
Łóżeczka niemowlęce,lozeczka-niemowlece,0,True,Sen i pokój,sen-i-pokoj-dziecka,10
Łóżeczka dostawne,lozeczka-dostawne,0,True,Sen i pokój,sen-i-pokoj-dziecka,10
Komody i przewijaki,komody-i-przewijaki,0,True,Sen i pokój,sen-i-pokoj-dziecka,10
Lampki i projektory,lampki-i-projektory,0,True,Sen i pokój,sen-i-pokoj-dziecka,10
Spacer i podróż,spacer-i-podroz,0,False,Spacer i podróż,spacer-i-podroz,6
Wózki dziecięce,wozki-dzieciece,0,True,Spacer i podróż,spacer-i-podroz,6
Spacerówki,spacerowki,0,True,Spacer i podróż,spacer-i-podroz,6
Foteliki samochodowe,foteliki-samochodowe,0,True,Spacer i podróż,spacer-i-podroz,6
Akcesoria do wózków,akcesoria-do-wozkow,0,True,Spacer i podróż,spacer-i-podroz,6
Nosidła i chusty,nosidla-i-chusty,0,True,Spacer i podróż,spacer-i-podroz,6
Bezpieczeństwo dziecka,bezpieczenstwo-dziecka,11,False,Bezpieczeństwo,bezpieczenstwo-dziecka,6
Zabezpieczenia domu,zabezpieczenia-domu,8,True,Bezpieczeństwo,bezpieczenstwo-dziecka,6
Bramki ochronne,bramki-ochronne,0,True,Bezpieczeństwo,bezpieczenstwo-dziecka,6
Barierki do łóżka,barierki-do-lozka,0,True,Bezpieczeństwo,bezpieczenstwo-dziecka,6
Szelki do nauki chodzenia,szelki-do-nauki-chodzenia,0,True,Bezpieczeństwo,bezpieczenstwo-dziecka,6
Bezpieczeństwo w podróży,bezpieczenstwo-w-podrozy,0,True,Bezpieczeństwo,bezpieczenstwo-dziecka,6
Elektronika dziecka,elektronika-dziecka,7,False,Elektronika,elektronika-dziecka,5
Nianie wideo,nianie-wideo,0,True,Elektronika,elektronika-dziecka,5
Termometry elektroniczne,termometry-elektroniczne,1,True,Elektronika,elektronika-dziecka,5
Wagi dla niemowląt,wagi-dla-niemowlat,0,True,Elektronika,elektronika-dziecka,5
Inhalatory,inhalatory,0,True,Elektronika,elektronika-dziecka,5
Zabawa i rozwój,zabawa-i-rozwoj,1,False,Zabawa i rozwój,zabawa-i-rozwoj,5
Gryzaki,gryzaki,0,True,Zabawa i rozwój,zabawa-i-rozwoj,5
Zabawki,zabawki,0,True,Zabawa i rozwój,zabawa-i-rozwoj,5
Maty edukacyjne,maty-edukacyjne,1,True,Zabawa i rozwój,zabawa-i-rozwoj,5
Pluszaki,pluszaki,0,True,Zabawa i rozwój,zabawa-i-rozwoj,5
